loss,intent_acc,slot_precision,slot_recall,slot_f1,semantic_frame_acc,name,epochs,seed,split
0.2973239931531928,0.9828571428571429,0.9578713968957872,0.9653631284916201,0.9616026711185309,0.9114285714285715,snips,10,123,test
0.2782086875628341,0.99,0.9557766721945826,0.9637681159420289,0.9597557590896474,0.9085714285714286,snips,10,123,dev
0.264877819202163,0.9814285714285714,0.9589117157134925,0.964804469273743,0.9618490671122251,0.9085714285714286,snips,10,231,test
0.2816714116118171,0.9842857142857143,0.9519071310116086,0.959866220735786,0.9558701082431308,0.8914285714285715,snips,10,231,dev
0.3015440187670968,0.9785714285714285,0.9561354802887285,0.9620111731843576,0.9590643274853803,0.9042857142857142,snips,10,312,test
0.24928883530876852,0.99,0.9542195256480971,0.9643255295429208,0.9592459107291378,0.9057142857142857,snips,10,312,dev
0.2747702293775298,0.9842857142857143,0.9633129516397999,0.9681564245810056,0.9657286152131512,0.92,snips,15,123,test
0.2708412026139823,0.9885714285714285,0.9526431718061674,0.9643255295429208,0.9584487534626038,0.9014285714285715,snips,15,123,dev
0.29499340328303253,0.9885714285714285,0.9552238805970149,0.9632107023411371,0.9592006661115737,0.9028571428571428,snips,15,231,dev
0.3091114800084721,0.9814285714285714,0.956858407079646,0.9664804469273743,0.961645358532518,0.9142857142857143,snips,15,231,test
0.28930820524692535,0.9814285714285714,0.950855880728879,0.9620111731843576,0.9564009997222994,0.9,snips,15,312,test
0.31479155780239537,0.99,0.9467325645249862,0.9609810479375697,0.9538035961272475,0.8971428571428571,snips,15,312,dev
0.34950638156045566,0.9842857142857143,0.9589117157134925,0.964804469273743,0.9618490671122251,0.9114285714285715,snips,20,123,test
0.3424960764294321,0.99,0.9590481460985059,0.9659977703455964,0.9625104137739517,0.91,snips,20,123,dev
0.3722699765454639,0.9814285714285714,0.9545706371191136,0.9625698324022346,0.9585535465924895,0.91,snips,20,231,test
0.349915127185258,0.9885714285714285,0.9584487534626038,0.9643255295429208,0.9613781606001667,0.9042857142857142,snips,20,231,dev
0.33679037947546353,0.9871428571428571,0.948237885462555,0.959866220735786,0.954016620498615,0.8914285714285715,snips,20,312,dev
0.3191580948504535,0.9814285714285714,0.962819089900111,0.9692737430167597,0.9660356347438752,0.92,snips,20,312,test
0.39777058515359054,0.9814285714285714,0.9584026622296173,0.9653631284916201,0.9618703033676593,0.9114285714285715,snips,25,123,test
0.38046880201859906,0.9885714285714285,0.9558255107675317,0.9648829431438127,0.9603328710124827,0.9028571428571428,snips,25,123,dev
0.40872223539785907,0.9842857142857143,0.9558255107675317,0.9648829431438127,0.9603328710124827,0.9071428571428571,snips,25,231,dev
0.36148880422115326,0.9814285714285714,0.9606430155210643,0.9681564245810056,0.9643850862548692,0.9171428571428571,snips,25,231,test
0.3332148951224305,0.9857142857142858,0.965,0.970391061452514,0.9676880222841227,0.9185714285714286,snips,25,312,test
0.3447966744953936,0.9871428571428571,0.9520396912899669,0.9626532887402452,0.9573170731707317,0.8942857142857142,snips,25,312,dev
0.3944174039431594,0.9785714285714285,0.9594669627984453,0.9653631284916201,0.962406015037594,0.9157142857142857,snips,30,123,test
0.3936373151161454,0.9871428571428571,0.9499725123694338,0.9632107023411371,0.9565458068087462,0.9042857142857142,snips,30,123,dev
0.3730960068377582,0.9814285714285714,0.9611973392461197,0.9687150837988827,0.9649415692821369,0.92,snips,30,231,test
0.40505877611311997,0.9871428571428571,0.9515685195376995,0.9637681159420289,0.9576294655220161,0.9014285714285715,snips,30,231,dev
0.34718966348604724,0.9842857142857143,0.9644839067702553,0.9709497206703911,0.9677060133630291,0.9214285714285714,snips,30,312,test
0.3673078580336137,0.9885714285714285,0.9575523704520397,0.9682274247491639,0.9628603104212861,0.91,snips,30,312,dev
0.41548684713515366,0.9857142857142858,0.9542699724517907,0.9654403567447045,0.9598226655583264,0.91,snips,35,123,dev
0.41183966110375797,0.98,0.9594669627984453,0.9653631284916201,0.962406015037594,0.9142857142857143,snips,35,123,test
0.43747708133675833,0.9857142857142858,0.956882255389718,0.9648829431438127,0.9608659450457953,0.9057142857142857,snips,35,231,dev
0.3854006657546217,0.98,0.9655746807329262,0.9715083798882681,0.9685324422166527,0.9157142857142857,snips,35,231,test
0.4033032916486263,0.9871428571428571,0.9542699724517907,0.9654403567447045,0.9598226655583264,0.9057142857142857,snips,35,312,dev
0.3627380857413465,0.9842857142857143,0.9634349030470915,0.9715083798882681,0.9674547983310152,0.9228571428571428,snips,35,312,test
0.4116648388179866,0.9857142857142858,0.9569298729983434,0.9659977703455964,0.9614424410540915,0.91,snips,40,123,dev
0.42430017566816375,0.9814285714285714,0.9583795782463929,0.964804469273743,0.9615812917594654,0.9142857142857143,snips,40,123,test
0.4363997226411646,0.9857142857142858,0.9563776918829376,0.9654403567447045,0.9608876560332871,0.9085714285714286,snips,40,231,dev
0.38832732154564426,0.9814285714285714,0.9634349030470915,0.9715083798882681,0.9674547983310152,0.92,snips,40,231,test
0.40704797411506827,0.9885714285714285,0.9574820541137493,0.9665551839464883,0.961997226074896,0.9071428571428571,snips,40,312,dev
0.3767321031879295,0.9842857142857143,0.9644839067702553,0.9709497206703911,0.9677060133630291,0.9228571428571428,snips,40,312,test
0.2449671155349775,0.9885714285714285,0.9443219404630651,0.9548494983277592,0.9495565410199557,0.8828571428571429,snips,5,123,dev
0.25908822219141503,0.9828571428571429,0.9492553778268064,0.9614525139664805,0.955315015265057,0.9,snips,5,123,test
0.21692526475949722,0.9857142857142858,0.9513812154696133,0.959866220735786,0.9556048834628191,0.8828571428571429,snips,5,231,dev
