loss,intent_acc,slot_precision,slot_recall,slot_f1,semantic_frame_acc,name,epochs,seed,split
0.21046779653988779,0.978,0.9743589743589743,0.9777777777777777,0.976065382370111,0.91,atis,10,123,dev
0.32273560762405396,0.9742441209406495,0.956140350877193,0.9598450158506516,0.9579891017753559,0.8790593505039194,atis,10,123,test
0.20013568620197475,0.978,0.9795799299883314,0.9818713450292398,0.9807242990654206,0.918,atis,10,231,dev
0.2973363356930869,0.9776035834266518,0.9536679536679536,0.957027122226136,0.9553445850914205,0.8701007838745801,atis,10,231,test
0.20090556173818186,0.98,0.977803738317757,0.9789473684210527,0.978375219170076,0.916,atis,10,312,dev
0.31489567272365093,0.9764837625979843,0.9553916403231472,0.9580838323353293,0.9567358424199789,0.8756998880179171,atis,10,312,test
0.3345712757935481,0.9742441209406495,0.9557894736842105,0.9594927791475871,0.9576375461416768,0.8779395296752519,atis,15,123,test
0.19214133563218638,0.98,0.9795680093403386,0.9812865497076023,0.9804265264387964,0.922,atis,15,123,dev
0.3171949475737555,0.9798432250839866,0.9513475673783689,0.9573793589292005,0.9543539325842696,0.8723404255319149,atis,15,231,test
0.21034744288772345,0.98,0.9784382284382285,0.9818713450292398,0.9801517805020432,0.922,atis,15,231,dev
0.2181356712244451,0.982,0.9842289719626168,0.9853801169590644,0.9848042080654588,0.932,atis,15,312,dev
0.3348962454391377,0.9764837625979843,0.9534476723836192,0.9594927791475871,0.9564606741573033,0.8756998880179171,atis,15,312,test
0.21826401574071497,0.978,0.9795799299883314,0.9818713450292398,0.9807242990654206,0.92,atis,20,123,dev
0.33622968782271656,0.9742441209406495,0.959915611814346,0.9616061993659739,0.9607601618863276,0.8824188129899216,atis,20,123,test
0.21977222809800878,0.98,0.9830508474576272,0.9836257309941521,0.9833382052031571,0.93,atis,20,231,dev
0.3497471148148179,0.9798432250839866,0.9540350877192982,0.9577315956322648,0.9558797679732818,0.8723404255319149,atis,20,231,test
0.3532391440655504,0.975363941769317,0.9546891464699684,0.9573793589292005,0.9560323601829054,0.8745800671892497,atis,20,312,test
0.2277969677816145,0.982,0.981892523364486,0.9830409356725146,0.9824663939216831,0.928,atis,20,312,dev
0.2621377205941826,0.972,0.9824766355140186,0.9836257309941521,0.9830508474576272,0.924,atis,25,123,dev
0.3840381790484701,0.9742441209406495,0.9592553565156305,0.9619584360690384,0.9606049947238834,0.8812989921612542,atis,25,123,test
0.35237260974411455,0.9809630459126539,0.9544339291973362,0.9591405424445227,0.9567814476458187,0.8779395296752519,atis,25,231,test
0.22508038708474487,0.98,0.9772727272727273,0.980701754385965,0.978984238178634,0.92,atis,25,231,dev
0.3630131846293807,0.9764837625979843,0.9554385964912281,0.9591405424445227,0.957285990507998,0.8801791713325868,atis,25,312,test
0.23225128778722137,0.982,0.9795918367346939,0.9824561403508771,0.981021897810219,0.924,atis,25,312,dev
0.38966877492410795,0.975363941769317,0.9605911330049262,0.9616061993659739,0.9610983981693364,0.8812989921612542,atis,30,123,test
0.2529156861710362,0.974,0.9813193228254524,0.9830409356725146,0.9821793748174116,0.922,atis,30,123,dev
0.23549827886745334,0.98,0.9795680093403386,0.9812865497076023,0.9804265264387964,0.926,atis,30,231,dev
0.3670241834063615,0.9798432250839866,0.9550877192982457,0.9587883057414582,0.956934434874319,0.8756998880179171,atis,30,231,test
0.35962128213473726,0.975363941769317,0.9578355586788475,0.9601972525537161,0.9590149516270888,0.8790593505039194,atis,30,312,test
0.22893930645659566,0.982,0.9801517805020432,0.9818713450292398,0.9810108092316682,0.92,atis,30,312,dev
0.3991337614133954,0.975363941769317,0.9609429978888107,0.9619584360690384,0.9614504488646365,0.8824188129899216,atis,35,123,test
0.26407993002794683,0.976,0.981903093987157,0.9836257309941521,0.9827636576102835,0.926,atis,35,123,dev
0.3684853089175054,0.9798432250839866,0.9554073033707865,0.9584360690383938,0.9569192896078776,0.8745800671892497,atis,35,231,test
0.2414450729265809,0.98,0.9784130688448075,0.980701754385965,0.9795560747663551,0.924,atis,35,231,dev
0.2368664318928495,0.982,0.9812974868497955,0.9818713450292398,0.9815843320666472,0.924,atis,35,312,dev
0.3699188357485192,0.975363941769317,0.9578207381370826,0.9598450158506516,0.9588318085855031,0.8779395296752519,atis,35,312,test
0.26421061786822975,0.974,0.9824868651488616,0.9842105263157894,0.9833479404031551,0.926,atis,40,123,dev
0.40186753190521685,0.975363941769317,0.960267229254571,0.9619584360690384,0.9611120886855534,0.8824188129899216,atis,40,123,test
0.36979561671614647,0.9798432250839866,0.9547368421052631,0.9584360690383938,0.9565828792406399,0.8745800671892497,atis,40,231,test
0.2441135065164417,0.98,0.9789964994165694,0.9812865497076023,0.9801401869158878,0.926,atis,40,231,dev
0.24040561961010098,0.982,0.9801401869158879,0.9812865497076023,0.9807130333138516,0.922,atis,40,312,dev
0.37104160631341593,0.975363941769317,0.9578207381370826,0.9598450158506516,0.9588318085855031,0.8779395296752519,atis,40,312,test
0.17674658878240734,0.982,0.9702970297029703,0.9742690058479532,0.9722789611905456,0.912,atis,5,123,dev
0.30066720662372454,0.973124300111982,0.94368660370759,0.9503346248679112,0.946998946998947,0.858902575587906,atis,5,123,test
0.18963676621206105,0.976,0.9738067520372526,0.9783625730994152,0.9760793465577596,0.908,atis,5,231,dev
0.33874073651220116,0.9720044792833147,0.9471658502449265,0.9535047551954914,0.9503247323152536,0.858902575587906,atis,5,231,test
0.24172450206242502,0.974,0.9687137891077636,0.9777777777777777,0.9732246798603026,0.902,atis,5,312,dev
